"Code";"EAN koda";"Product name";"Žeton";"Kratek opis";"Podroben opis";"Stamp";"Kategorije";"Objavljeno";"Arhivirano";"Košarica";"Mission";"New";"Priporočamo";"Zaloga";"Nabavna cena";"Prodajna cena";"online price";"Funkcijska cena";"DDV v %";"Teža v kg";"Unit";"Podenota";"Prikazna slika";"Dodatna fotografija 1";"Dodatna fotografija 2";"Dodatna fotografija 3";"Dodatna fotografija 4";"Dodatna fotografija 5";"Dodatna fotografija 6";"Dodatna fotografija 7";"Dodatna fotografija 8";"Količina v paketu";"Min. količina za naročilo";"Max. količina za naročilo";"Qty step";"Dobava od";"Dobava do";"Ni sinhronizacije";"Koda nadprodukta";"Kode povezanih produktov";"Kode dodatnih storitev";"Skladišče Open Ocean Sports GmbH (Main warehouse)";"Skladišče Cobra International Co., LTD (Board production)";"Skladišče Open Ocean Sports GmbH (Open Ocean warehouse)";"Skladišče Marketing France (Marketing FR)";"Skladišče Transit 1 (Cobra) E.S.T. end of January (Transit 1)";"Skladišče Transit 2 (China) E.S.T. (Transit 2)";"Skladišče Nicholas Warembourg (Nico - Team Rider)";"Skladišče Nicolas Reynes (Nicolas - team rider)";"Skladišče Tine Slabe (Tine - team rider)";"Skladišče Transit 4 (Ukraine) EST 05.04. (Transit 4)";"Skladišče Transit 5 (Airfright China) ETA 20.06. (Transit 5)";"Skladišče Germany one (Germany one)";"Skladišče Germany two (Germany two)";"Skladišče Slovenia one (Slovenia one)";"Skladišče Surfline Kiel (Surfline Kiel)";"Skladišče Global Creation Sports Gear LTD. (China production)";"Skladišče ExW (Time2Enjoy (Australia))";"Skladišče Thomas Goyard (Goyard)";"Skladišče Test parc France (Test Parc FR)";"Skladišče Miry 24 Logistik GmbH (Warehouse Hamburg)";"Skladišče not valid stock (''Inventory'')";"Skladišče GR (Test Parc GER)";"Skladišče Warehouse Switzerland (Warehouse Switzerland)";"Skladišče Time 4 Action (T4A)";"Size";"Available for preorder"
"P13200007002";"";"Laminated Nose Shields 94 l";"p13200007002";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"kos";"";"";"";"";"";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PARTRIK_LAMINATED_NOSE_SHIELD";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"P13200007003";"";"Laminated Nose Shields 103 l";"p13200007003";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"kos";"";"";"";"";"";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PARTRIK_LAMINATED_NOSE_SHIELD";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"P13200007004";"";"Laminated Nose Shields 113 l";"p13200007004";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"kos";"";"";"";"";"";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PARTRIK_LAMINATED_NOSE_SHIELD";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"P13200007005";"";"Laminated Nose Shields 115 l";"p13200007005";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"kos";"";"";"";"";"";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PARTRIK_LAMINATED_NOSE_SHIELD";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"P13200008001";"4262431697174";"Fin Box Cover US";"p13200008001";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,4900";"0,4900";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikcoverusbox.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FIN_BOX_COVER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"71";"US";""
"P13200008002";"4262431697181";"Fin Box Cover SLOT";"p13200008002";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"1,1500";"1,1500";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikcoverslotbox.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FIN_BOX_COVER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"SLOT";""
"P13200009001";"4262431697198";"Patrik Footstraps";"p13200009001";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"4,4400";"4,4400";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikfootstrap.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FOOTSTRAPS";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1193";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"138";"FOOTSTRAP";""
"P13200010001";"4262431697204";"Footstrap Screw";"p13200010001";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,1700";"0,1700";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikfootstrapscrew1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrikfootstrapscrew2.jpg";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FOOTSTRAPS";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"SCREW";""
"P13200010002";"4262431697211";"Footstrap Teeth Washer";"p13200010002";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,5100";"0,5100";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikfootstrapteeth-washer1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrikfootstrapteeth-washer2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrikfootstrapteeth-washer3.jpg";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FOOTSTRAPS";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"559";"TEETH WASHER";""
"P13200010004";"4262431697235";"Fin Screw Rubber & Washer";"p13200010004";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,7900";"0,7900";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikscrewrubber-and-washer1.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FIN_SCREW";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"116";"RUBBER + WASHER";""
